0x258A,HDT_TRANSACTION_ACK_TIMEOUT_FAILURE
0x2680,CFW_DIG_RF_SOURCE_OCCUPIED
0x268B,CFW_DIG_RF_HW_RX_IF_FAILURE
0x2690,CFW_DIG_RF_IFC_NOT_EMPTY_ERROR
0x26C6,DIGRF_RFIC_UNEXPECTED_IFC_ERROR
0x26CB,DIGRF_RFIC_NO_RESPONSE
0x26CD,DIGRF_RFIC_MSG_UNEXPECTED
0x26D7,CFW_DIG_RF_INVALID_MSG
0x26DD,DIGRF_SKYLARK_FANTAL_ERROR
0x26F1,DIGRF_PING_NO_RESPONSE_ERROR
0x26F5,INVAILD_NO_GSM_RXIQ_DATA_ERROR
0x26F6,INVAILD_NO_WB_RXIQ_DATA_ERROR
0x26F9,FB_NoIQDATA_TRAP_ERROR
0x4080,NOT_DEFINED
0x4B84,CLLR_GENERAL_BER_TASK_OVERRUN
0x4B86,LLR_GENERAL_RECONFIG_INTEGRITY_FAIL
0x4C84,RX_CRC_HIF_TASK
0x4C86,CRX_MANAGER
0x4C93,RX_BUFFER_OVERWRITE
0x4E03,LLX_PUNCTURE_LIMIT_VIOLATION
0x4E07,LLX_DIAGNOSTIC
0x5482,LLR_PICH_MGR_NO_MR_TRACKERS_PRE_PI
0x5488,CLLR_AICH_MGR_TASK_END_OVERDUE
0x548C,LLR_NEXT_HRF_SYM0_NOT_LEGAL
0x558A,CMM_FOUND_MORE_THAN_2_CONSEC_FRAMES
0x5608,SFN_L1_INTERRUPTS_WERE_ACTIVATED_AT_D2
0x5883,RF_SEQ_RUN_CLASH_ERR
0x5B8F,DRX_MODEM_SLEEP_TASK_WRONG_STATE
0x5BA3,CALLOWBB_TIMING_ERR
0x5BB3,CMEASUREMENT_DONT_ABORT
0x5BB8,CEXIST_TIMER_BEFORE_SLEEP
0x5F89,TX_RX_HS_REAL_TIME_PROBLEM
0x5F8A,TX_HS_ISR_AND_RFICUS_ISR_NOT_SYNC_SLOT_NUM
0x5F8E,TX_HS_INVALID_TERMINATION
0x640C,GSM_TASK_CALLED_IN_WB_MODE
0x8101,EDPDCH_ENCODER_VIOLATION
0x8105,CETFC_REST_MAC_E_RESTRICTION_READ_VIOLATION
0x8111,EDPDCH_ENCODER_IGNORE_VIOLATION
0x8181,RX_AGCH_SUSPECTED_GOOD_CRC
0x8208,CLLR_HSUPA_DRIVER_MP_DELAY_VIOLATION
0x8300,CHSUPA_SMM_VALIDITY_TEST_FAILURE
0x8561,CCPC_RF_RX_MANAGER_MSR_DID_NOT_RETURN_ON_TIME
0x8565,CCPC_QUE_MGR_AT_TOO_SOON_PARAM
0x8C06,CQI_SUM_OF_HS_SCCH_NOISE_OVER_M_SLOTS_IS_ZERO
0x8D02,VEL_EST_HW_IS_STUCK
0x8D82,DALE_HSDPA_DRIVER_COMB_RTU_IS_CONFIGURED_TOO_LATE
